employee_first_name,employee_last_name,employee_address,contributor_first_name,contributor_last_name,contributor_address,label
John,Wright,"6556 Valley Rd, San Antonio, AZ 73244",John,Wright,"6556 Valley Rd, San Antonio, AZ 73244 Apt 26",1
Rob,Williams,"5968 Elm Street, Phoenix, MI 54472",Rob C.,Williams,"2911 Elm Street, Philadelphia, PA 80316",0
Jane,Brown,"6761 Apple Dr, Chicago, GA 22887",Jane K.,Brown,"4837 Oak Ave, Houston, IL 30708",0
Mary,Martinez,"3981 Apple Dr, San Diego, NC 80605",Mary,Martinez,"8281 Elm Street, San Diego, NY 62835",0
Karen,Johnson,"8076 Apple Dr, Houston, AZ 65788",Karen,Johnson,"8076 Apple Dr, Los Angeles, AZ 65788",0
Adam,Martinez,"922 Sunset Blvd, San Diego, TX 69135",Adam,Martinez,"922 Sunset Blvd, San Diego, TX 69135",1
Mary,Wilson,"1635 Sunset Blvd, New York, PA 70832",Mary,Wilson,"7721 Cedar Ct, Houston, IL 67411",0
Karen,Martinez,"1109 Pine Ln, Chicago, GA 16256",Karen H.,Martinez,"3133 Maple Rd, Chicago, GA 51981",0
John,Anderson,"9911 Redwood St, Philadelphia, PA 65349",John,Anderson,,0
Michael,Anderson,"8525 Pine Ln, Phoenix, FL 56396",Michael,Anderson,"8525 Pine Ln, Phoenix, FL 56396 Apt 14",1
Anna,Wright,"1455 Valley Rd, San Diego, PA 57638",Anna,Wright,,0
Adam,Miller,"3363 Birch Dr, Chicago, CA 73328",Adam,Miller,"3363 Birch Dr, Chicago, CA 73328 Apt 12",1
Karen,Kim,"8248 Oak Ave, Houston, TX 12709",Karen,Kim,,0
Lisa,Clark,"5622 Maple Rd, San Jose, PA 50291",Lisa,Clark,"5622 Maple Rd, San Antonio, PA 50291",0
Chris,Allen,,Chris,Allen,,1
Rob,Wright,"76 Cedar Ct, Dallas, NY 59625",Rob,Wright,"76 Cedar Ct, Dallas, NY 59625",1
Adam,Taylor,"8901 Apple Dr, Dallas, IL 69661",Adam,Taylor,"8901 Apple Dr, Dallas, IL 69661",1
Karen,Brown,"8168 Apple Dr, San Jose, PA 64693",Karen A.,Brown,"3833 Pine Ln, San Antonio, TX 41676",0
Anna,Kim,"4832 Oak Ave, Philadelphia, GA 12380",Anna,Kim,"3725 Sunset Blvd, Houston, NC 16756",0
Diana,Kim,"3093 Pine Ln, Philadelphia, FL 75380",Diana,Kim,"8340 Elm Street, Phoenix, NC 18819",0
Diana,Wilson,,Diana E.,Wilson,"5665 Apple Dr, Philadelphia, AZ 35635",0
Karen,Clark,"9127 Sunset Blvd, Los Angeles, PA 40679",Karen,Clark,"4899 Elm Street, San Jose, IL 20248",0
Karen,Williams,"7017 Apple Dr, Dallas, AZ 76133",Karen,Williams,"7017 Apple Dr, Dallas, AZ 76133",1
Jane,Wright,"6253 Pine Ln, Chicago, FL 86561",Jane D.,Wright,"6936 Cedar Ct, Phoenix, NC 31106",0
Michael,Lee,"9754 Birch Dr, Phoenix, AZ 34349",Michael,Lee,"9754 Birch Dr, Chicago, AZ 34349",0
Chris,Davis,"290 Birch Dr, San Jose, PA 18715",Chris,Davis,"6385 Apple Dr, San Jose, PA 99195",0
Diana,Kim,"2537 Pine Ln, Houston, GA 38763",Diana C.,Kim,"3002 Sunset Blvd, Houston, NY 59925",0
Karen,Davis,,Karen,Davis,,0
Chris,Anderson,"9440 Maple Rd, San Diego, TX 21807",Chris,Anderson,,0
Mary,Lee,"966 Birch Dr, New York, PA 43268",Mary,Lee,"966 Birch Dr, New York, PA 43268",1
Adam,Kim,"3383 Elm Street, Los Angeles, CA 76892",Adam,Kim,,0
Chris,Brown,"3020 Cedar Ct, San Antonio, PA 62259",Chris,Brown,"3020 Cedar Ct, San Antonio, PA 62259 Apt 35",1
Sarah,Allen,"5706 Sunset Blvd, Houston, GA 45666",Sarah,Allen,"5706 Sunset Blvd, Houston, GA 45666 Apt 39",1
Adam,Wright,"7250 Sunset Blvd, Phoenix, GA 99454",Adam,Wright,"7250 Sunset Blvd, Chicago, GA 99454",0
Rob,Wright,"4784 Oak Ave, New York, GA 72304",Rob,Wright,,0
Karen,Wright,"1309 Valley Rd, Dallas, GA 91506",Karen,Wright,,0
Sarah,Allen,"6507 Apple Dr, Los Angeles, TX 88865",Sarah,Allen,"9547 Oak Ave, Houston, NC 29697",0
Dave,Williams,,Dave,Williams,,0
John,Taylor,"2999 Redwood St, San Diego, MI 20159",John,Taylor,"2999 Redwood St, San Diego, MI 20159",1
Adam,Taylor,"939 Redwood St, San Antonio, NY 88372",Adam,Taylor,"1736 Apple Dr, Houston, CA 36168",0
Karen,Anderson,,Karen,Anderson,,0
Lisa,Miller,"4216 Oak Ave, San Antonio, NY 45222",Lisa,Miller,"4216 Oak Ave, San Antonio, NY 45222 Apt 25",1
Lisa,Davis,"9242 Valley Rd, Houston, TX 18285",Lisa C.,Davis,"8438 Apple Dr, Houston, CA 55626",0
Michael,Anderson,"5044 Valley Rd, San Jose, AZ 12737",Michael H.,Anderson,"3165 Elm Street, Philadelphia, NY 49558",0
Mary,Smith,"4831 Pine Ln, Dallas, AZ 75656",Mary,Smith,"4831 Pine Ln, Dallas, AZ 75656",1
Sarah,Miller,"3361 Apple Dr, Chicago, NY 41782",Sarah C.,Miller,"609 Sunset Blvd, Los Angeles, TX 92370",0
Jane,Allen,"479 Elm Street, Los Angeles, PA 33648",Jane,Allen,"370 Oak Ave, New York, IL 72521",0
Karen,Martinez,"7631 Oak Ave, New York, TX 92815",Karen,Martinez,"7631 Oak Ave, New York, TX 92815",1
Marcus,Lee,"981 Maple Rd, San Antonio, CA 70614",Marcus,Lee,"981 Maple Rd, San Antonio, CA 70614 Apt 41",1
Karen,Taylor,"7673 Birch Dr, Houston, TX 65519",Karen,Taylor,"7673 Birch Dr, Houston, TX 65519",1
Chris,Wilson,"4029 Elm Street, San Jose, CA 72841",Chris,Wilson,,0
Lisa,Anderson,,Lisa,Anderson,,0
Lisa,Lee,"3177 Redwood St, Dallas, MI 75927",Lisa,Lee,"1030 Valley Rd, San Jose, NY 22885",0
Diana,Clark,"4352 Cedar Ct, Chicago, PA 36950",Diana,Clark,"4352 Cedar Ct, Chicago, PA 36950 Apt 5",1
John,Wright,"2621 Cedar Ct, Dallas, NY 49763",John,Wright,"2621 Cedar Ct, Dallas, NY 49763",1
